"id","name","postcode"
"1","北京市","110000"
"2","北京市市辖区","110100"
"3","北京市东城区","110101"
"4","北京市西城区","110102"
"5","北京市崇文区","110103"
"6","北京市宣武区","110104"
"7","北京市朝阳区","110105"
"8","北京市丰台区","110106"
"9","北京市石景山区","110107"
"10","北京市海淀区","110108"
"11","北京市门头沟区","110109"
"12","北京市房山区","110111"
"13","北京市通州区","110112"
"14","北京市顺义区","110113"
"15","北京市昌平区","110114"
"16","北京市大兴区","110115"
"17","北京市怀柔区","110116"
"18","北京市市辖区平谷区","110117"
"19","北京市县","110200"
"20","北京市县密云县","110228"
"21","北京市县延庆县","110229"
"22","天津市","120000"
"23","天津市市辖区","120100"
"24","天津市市辖区和平区","120101"
"25","天津市市辖区河东区","120102"
"26","天津市市辖区河西区","120103"
"27","天津市市辖区南开区","120104"
"28","天津市市辖区河北区","120105"
"29","天津市市辖区红桥区","120106"
"30","天津市市辖区塘沽区","120107"
"31","天津市市辖区汉沽区","120108"
"32","天津市市辖区大港区","120109"
"33","天津市市辖区东丽区","120110"
"34","天津市市辖区西青区","120111"
"35","天津市市辖区津南区","120112"
"36","天津市市辖区北辰区","120113"
"37","天津市市辖区武清区","120114"
"38","天津市市辖区宝坻区","120115"
"39","天津市县","120200"
"40","天津市县宁河县","120221"
"41","天津市县静海县","120223"
"42","天津市县蓟县","120225"
"43","河北省","130000"
"44","河北省石家庄市","130100"
"45","河北省石家庄市长安区","130102"
"46","河北省石家庄市桥东区","130103"
"47","河北省石家庄市桥西区","130104"
"48","河北省石家庄市新华区","130105"
"49","河北省石家庄市井陉矿区","130107"
"50","河北省石家庄市裕华区","130108"
"51","河北省石家庄市井陉县","130121"
"52","河北省石家庄市正定县","130123"
"53","河北省石家庄市栾城县","130124"
"54","河北省石家庄市行唐县","130125"
"55","河北省石家庄市灵寿县","130126"
"56","河北省石家庄市高邑县","130127"
"57","河北省石家庄市深泽县","130128"
"58","河北省石家庄市赞皇县","130129"
"59","河北省石家庄市无极县","130130"
"60","河北省石家庄市平山县","130131"
"61","河北省石家庄市元氏县","130132"
"62","河北省石家庄市赵县","130133"
"63","河北省石家庄市辛集市","130181"
"64","河北省石家庄市藁城市","130182"
"65","河北省石家庄市晋州市","130183"
"66","河北省石家庄市新乐市","130184"
"67","河北省石家庄市鹿泉市","130185"
"68","河北省唐山市","130200"
"69","河北省唐山市路南区","130202"
"70","河北省唐山市路北区","130203"
"71","河北省唐山市古冶区","130204"
"72","河北省唐山市开平区","130205"
"73","河北省唐山市丰南区","130207"
"74","河北省唐山市丰润区","130208"
"75","河北省唐山市滦县","130223"
"76","河北省唐山市滦南县","130224"
"77","河北省唐山市乐亭县","130225"
"78","河北省唐山市迁西县","130227"
"79","河北省唐山市玉田县","130229"
"80","河北省唐山市唐海县","130230"
"81","河北省唐山市遵化市","130281"
"82","河北省唐山市迁安市","130283"
"83","河北省秦皇岛市","130300"
"84","河北省秦皇岛市海港区","130302"
"85","河北省秦皇岛市山海关区","130303"
"86","河北省秦皇岛市北戴河区","130304"
"87","河北省秦皇岛市青龙满族自治县","130321"
"88","河北省秦皇岛市昌黎县","130322"
"89","河北省秦皇岛市抚宁县","130323"
"90","河北省秦皇岛市卢龙县","130324"
"91","河北省邯郸市","130400"
"92","河北省邯郸市邯山区","130402"
"93","河北省邯郸市丛台区","130403"
"94","河北省邯郸市复兴区","130404"
"95","河北省邯郸市峰峰矿区","130406"
"96","河北省邯郸市邯郸县","130421"
"97","河北省邯郸市临漳县","130423"
"98","河北省邯郸市成安县","130424"
"99","河北省邯郸市大名县","130425"
"100","河北省邯郸市涉县","130426"
"101","河北省邯郸市磁县","130427"
"102","河北省邯郸市肥乡县","130428"
"103","河北省邯郸市永年县","130429"
"104","河北省邯郸市邱县","130430"
"105","河北省邯郸市鸡泽县","130431"
"106","河北省邯郸市广平县","130432"
"107","河北省邯郸市馆陶县","130433"
"108","河北省邯郸市魏县","130434"
"109","河北省邯郸市曲周县","130435"
"110","河北省邯郸市武安市","130481"
"111","河北省邢台市","130500"
"112","河北省邢台市桥东区","130502"
"113","河北省邢台市桥西区","130503"
"114","河北省邢台市邢台县","130521"
"115","河北省邢台市临城县","130522"
"116","河北省邢台市内丘县","130523"
"117","河北省邢台市柏乡县","130524"
"118","河北省邢台市隆尧县","130525"
"119","河北省邢台市任县","130526"
"120","河北省邢台市南和县","130527"
"121","河北省邢台市宁晋县","130528"
"122","河北省邢台市巨鹿县","130529"
"123","河北省邢台市新河县","130530"
"124","河北省邢台市广宗县","130531"
"125","河北省邢台市平乡县","130532"
"126","河北省邢台市威县","130533"
"127","河北省邢台市清河县","130534"
"128","河北省邢台市临西县","130535"
"129","河北省邢台市南宫市","130581"
"130","河北省邢台市沙河市","130582"
"131","河北省保定市","130600"
"132","河北省保定市新市区","130602"
"133","河北省保定市北市区","130603"
"134","河北省保定市南市区","130604"
"135","河北省保定市满城县","130621"
"136","河北省保定市清苑县","130622"
"137","河北省保定市涞水县","130623"
"138","河北省保定市阜平县","130624"
"139","河北省保定市徐水县","130625"
"140","河北省保定市定兴县","130626"
"141","河北省保定市唐县","130627"
"142","河北省保定市高阳县","130628"
"143","河北省保定市容城县","130629"
"144","河北省保定市涞源县","130630"
"145","河北省保定市望都县","130631"
"146","河北省保定市安新县","130632"
"147","河北省保定市易县","130633"
"148","河北省保定市曲阳县","130634"
"149","河北省保定市蠡县","130635"
"150","河北省保定市顺平县","130636"
"151","河北省保定市博野县","130637"
"152","河北省保定市雄县","130638"
"153","河北省保定市涿州市","130681"
"154","河北省保定市定州市","130682"
"155","河北省保定市安国市","130683"
"156","河北省保定市高碑店市","130684"
"157","河北省张家口市","130700"
"158","河北省张家口市桥东区","130702"
"159","河北省张家口市桥西区","130703"
"160","河北省张家口市宣化区","130705"
"161","河北省张家口市下花园区","130706"
"162","河北省张家口市宣化县","130721"
"163","河北省张家口市张北县","130722"
"164","河北省张家口市康保县","130723"
"165","河北省张家口市沽源县","130724"
"166","河北省张家口市尚义县","130725"
"167","河北省张家口市蔚县","130726"
"168","河北省张家口市阳原县","130727"
"169","河北省张家口市怀安县","130728"
"170","河北省张家口市万全县","130729"
"171","河北省张家口市怀来县","130730"
"172","河北省张家口市涿鹿县","130731"
"173","河北省张家口市赤城县","130732"
"174","河北省张家口市崇礼县","130733"
"175","河北省承德市","130800"
"176","河北省承德市双桥区","130802"
"177","河北省承德市双滦区","130803"
"178","河北省承德市鹰手营子矿区","130804"
"179","河北省承德市承德县","130821"
"180","河北省承德市兴隆县","130822"
"181","河北省承德市平泉县","130823"
"182","河北省承德市滦平县","130824"
"183","河北省承德市隆化县","130825"
"184","河北省承德市丰宁满族自治县","130826"
"185","河北省承德市宽城满族自治县","130827"
"186","河北省承德市围场满族蒙古族自治县","130828"
"187","河北省沧州市","130900"
"188","河北省沧州市新华区","130902"
"189","河北省沧州市运河区","130903"
"190","河北省沧州市沧县","130921"
"191","河北省沧州市青县","130922"
"192","河北省沧州市东光县","130923"
"193","河北省沧州市海兴县","130924"
"194","河北省沧州市盐山县","130925"
"195","河北省沧州市肃宁县","130926"
"196","河北省沧州市南皮县","130927"
"197","河北省沧州市吴桥县","130928"
"198","河北省沧州市献县","130929"
"199","河北省沧州市孟村回族自治县","130930"
"200","河北省沧州市泊头市","130981"
"201","河北省沧州市任丘市","130982"
"202","河北省沧州市黄骅市","130983"
"203","河北省沧州市河间市","130984"
"204","河北省廊坊市","131000"
"205","河北省廊坊市安次区","131002"
"206","河北省廊坊市广阳区","131003"
"207","河北省廊坊市固安县","131022"
"208","河北省廊坊市永清县","131023"
"209","河北省廊坊市香河县","131024"
"210","河北省廊坊市大城县","131025"
"211","河北省廊坊市文安县","131026"
"212","河北省廊坊市大厂回族自治县","131028"
"213","河北省廊坊市霸州市","131081"
"214","河北省廊坊市三河市","131082"
"215","河北省衡水市","131100"
"216","河北省衡水市桃城区","131102"
"217","河北省衡水市枣强县","131121"
"218","河北省衡水市武邑县","131122"
"219","河北省衡水市武强县","131123"
"220","河北省衡水市饶阳县","131124"
"221","河北省衡水市安平县","131125"
"222","河北省衡水市故城县","131126"
"223","河北省衡水市景县","131127"
"224","河北省衡水市阜城县","131128"
"225","河北省衡水市冀州市","131181"
"226","河北省衡水市深州市","131182"
"227","山西省","140000"
"228","山西省太原市","140100"
"229","山西省太原市小店区","140105"
"230","山西省太原市迎泽区","140106"
"231","山西省太原市杏花岭区","140107"
"232","山西省太原市尖草坪区","140108"
"233","山西省太原市万柏林区","140109"
"234","山西省太原市晋源区","140110"
"235","山西省太原市清徐县","140121"
"236","山西省太原市阳曲县","140122"
"237","山西省太原市娄烦县","140123"
"238","山西省太原市古交市","140181"
"239","山西省大同市","140200"
"240","山西省大同市城区","140202"
"241","山西省大同市矿区","140203"
"242","山西省大同市南郊区","140211"
"243","山西省大同市新荣区","140212"
"244","山西省大同市阳高县","140221"
"245","山西省大同市天镇县","140222"
"246","山西省大同市广灵县","140223"
"247","山西省大同市灵丘县","140224"
"248","山西省大同市浑源县","140225"
"249","山西省大同市左云县","140226"
"250","山西省大同市大同县","140227"
"251","山西省阳泉市","140300"
"252","山西省阳泉市城区","140302"
"253","山西省阳泉市矿区","140303"
"254","山西省阳泉市郊区","140311"
"255","山西省阳泉市平定县","140321"
"256","山西省阳泉市盂县","140322"
"257","山西省长治市","140400"
"258","山西省长治市城区","140402"
"259","山西省长治市郊区","140411"
"260","山西省长治市长治县","140421"
"261","山西省长治市襄垣县","140423"
"262","山西省长治市屯留县","140424"
"263","山西省长治市平顺县","140425"
"264","山西省长治市黎城县","140426"
"265","山西省长治市壶关县","140427"
"266","山西省长治市长子县","140428"
"267","山西省长治市武乡县","140429"
"268","山西省长治市沁县","140430"
"269","山西省长治市沁源县","140431"
"270","山西省长治市潞城市","140481"
"271","山西省晋城市","140500"
"272","山西省晋城市城区","140502"
"273","山西省晋城市沁水县","140521"
"274","山西省晋城市阳城县","140522"
"275","山西省晋城市陵川县","140524"
"276","山西省晋城市泽州县","140525"
"277","山西省晋城市高平市","140581"
"278","山西省朔州市","140600"
"279","山西省朔州市朔城区","140602"
"280","山西省朔州市平鲁区","140603"
"281","山西省朔州市山阴县","140621"
"282","山西省朔州市应县","140622"
"283","山西省朔州市右玉县","140623"
"284","山西省朔州市怀仁县","140624"
"285","山西省晋中市","140700"
"286","山西省晋中市榆次区","140702"
"287","山西省晋中市榆社县","140721"
"288","山西省晋中市左权县","140722"
"289","山西省晋中市和顺县","140723"
"290","山西省晋中市昔阳县","140724"
"291","山西省晋中市寿阳县","140725"
"292","山西省晋中市太谷县","140726"
"293","山西省晋中市祁县","140727"
"294","山西省晋中市平遥县","140728"
"295","山西省晋中市灵石县","140729"
"296","山西省晋中市介休市","140781"
"297","山西省运城市","140800"
"298","山西省运城市盐湖区","140802"
"299","山西省运城市临猗县","140821"
"300","山西省运城市万荣县","140822"
"301","山西省运城市闻喜县","140823"
"302","山西省运城市稷山县","140824"
"303","山西省运城市新绛县","140825"
"304","山西省运城市绛县","140826"
"305","山西省运城市垣曲县","140827"
"306","山西省运城市夏县","140828"
"307","山西省运城市平陆县","140829"
"308","山西省运城市芮城县","140830"
"309","山西省运城市永济市","140881"
"310","山西省运城市河津市","140882"
"311","山西省忻州市","140900"
"312","山西省忻州市忻府区","140902"
"313","山西省忻州市定襄县","140921"
"314","山西省忻州市五台县","140922"
"315","山西省忻州市代县","140923"
"316","山西省忻州市繁峙县","140924"
"317","山西省忻州市宁武县","140925"
"318","山西省忻州市静乐县","140926"
"319","山西省忻州市神池县","140927"
"320","山西省忻州市五寨县","140928"
"321","山西省忻州市岢岚县","140929"
"322","山西省忻州市河曲县","140930"
"323","山西省忻州市保德县","140931"
"324","山西省忻州市偏关县","140932"
"325","山西省忻州市原平市","140981"
"326","山西省临汾市","141000"
"327","山西省临汾市尧都区","141002"
"328","山西省临汾市曲沃县","141021"
"329","山西省临汾市翼城县","141022"
"330","山西省临汾市襄汾县","141023"
"331","山西省临汾市洪洞县","141024"
"332","山西省临汾市古县","141025"
"333","山西省临汾市安泽县","141026"
"334","山西省临汾市浮山县","141027"
"335","山西省临汾市吉县","141028"
"336","山西省临汾市乡宁县","141029"
"337","山西省临汾市大宁县","141030"
"338","山西省临汾市隰县","141031"
"339","山西省临汾市永和县","141032"
"340","山西省临汾市蒲县","141033"
"341","山西省临汾市汾西县","141034"
"342","山西省临汾市侯马市","141081"
"343","山西省临汾市霍州市","141082"
"344","山西省吕梁市","141100"
"345","山西省吕梁市离石区","141102"
"346","山西省吕梁市文水县","141121"
"347","山西省吕梁市交城县","141122"
"348","山西省吕梁市兴县","141123"
"349","山西省吕梁市临县","141124"
"350","山西省吕梁市柳林县","141125"
"351","山西省吕梁市石楼县","141126"
"352","山西省吕梁市岚县","141127"
"353","山西省吕梁市方山县","141128"
"354","山西省吕梁市中阳县","141129"
"355","山西省吕梁市交口县","141130"
"356","山西省吕梁市孝义市","141181"
"357","山西省吕梁市汾阳市","141182"
"358","内蒙古自治区","150000"
"359","内蒙古自治区呼和浩特市","150100"
"360","内蒙古自治区呼和浩特市新城区","150102"
"361","内蒙古自治区呼和浩特市回民区","150103"
"362","内蒙古自治区呼和浩特市玉泉区","150104"
"363","内蒙古自治区呼和浩特市赛罕区","150105"
"364","内蒙古自治区呼和浩特市土默特左旗","150121"
"365","内蒙古自治区呼和浩特市托克托县","150122"
"366","内蒙古自治区呼和浩特市和林格尔县","150123"
"367","内蒙古自治区呼和浩特市清水河县","150124"
"368","内蒙古自治区呼和浩特市武川县","150125"
"369","内蒙古自治区包头市","150200"
"370","内蒙古自治区包头市东河区","150202"
"371","内蒙古自治区包头市昆都仑区","150203"
"372","内蒙古自治区包头市青山区","150204"
"373","内蒙古自治区包头市石拐区","150205"
"374","内蒙古自治区包头市白云矿区","150206"
"375","内蒙古自治区包头市九原区","150207"
"376","内蒙古自治区包头市土默特右旗","150221"
"377","内蒙古自治区包头市固阳县","150222"
"378","内蒙古自治区包头市达尔罕茂明安联合旗","150223"
"379","内蒙古自治区乌海市","150300"
"380","内蒙古自治区乌海市海勃湾区","150302"
"381","内蒙古自治区乌海市海南区","150303"
"382","内蒙古自治区乌海市乌达区","150304"
"383","内蒙古自治区赤峰市","150400"
"384","内蒙古自治区赤峰市红山区","150402"
"385","内蒙古自治区赤峰市元宝山区","150403"
"386","内蒙古自治区赤峰市松山区","150404"
"387","内蒙古自治区赤峰市阿鲁科尔沁旗","150421"
"388","内蒙古自治区赤峰市巴林左旗","150422"
"389","内蒙古自治区赤峰市巴林右旗","150423"
"390","内蒙古自治区赤峰市林西县","150424"
"391","内蒙古自治区赤峰市克什克腾旗","150425"
"392","内蒙古自治区赤峰市翁牛特旗","150426"
"393","内蒙古自治区赤峰市喀喇沁旗","150428"
"394","内蒙古自治区赤峰市宁城县","150429"
"395","内蒙古自治区赤峰市敖汉旗","150430"
"396","内蒙古自治区通辽市","150500"
"397","内蒙古自治区通辽市科尔沁区","150502"
"398","内蒙古自治区通辽市科尔沁左翼中旗","150521"
"399","内蒙古自治区通辽市科尔沁左翼后旗","150522"
"400","内蒙古自治区通辽市开鲁县","150523"
"401","内蒙古自治区通辽市库伦旗","150524"
"402","内蒙古自治区通辽市奈曼旗","150525"
"403","内蒙古自治区通辽市扎鲁特旗","150526"
"404","内蒙古自治区通辽市霍林郭勒市","150581"
"405","内蒙古自治区鄂尔多斯市","150600"
"406","内蒙古自治区鄂尔多斯市东胜区","150602"
"407","内蒙古自治区鄂尔多斯市达拉特旗","150621"
"408","内蒙古自治区鄂尔多斯市准格尔旗","150622"
"409","内蒙古自治区鄂尔多斯市鄂托克前旗","150623"
"410","内蒙古自治区鄂尔多斯市鄂托克旗","150624"
"411","内蒙古自治区鄂尔多斯市杭锦旗","150625"
"412","内蒙古自治区鄂尔多斯市乌审旗","150626"
"413","内蒙古自治区鄂尔多斯市伊金霍洛旗","150627"
"414","内蒙古自治区呼伦贝尔市","150700"
"415","内蒙古自治区呼伦贝尔市海拉尔区","150702"
"416","内蒙古自治区呼伦贝尔市阿荣旗","150721"
"417","内蒙古自治区呼伦贝尔市莫力达瓦达斡尔族自治旗","150722"
"418","内蒙古自治区呼伦贝尔市鄂伦春自治旗","150723"
"419","内蒙古自治区呼伦贝尔市鄂温克族自治旗","150724"
"420","内蒙古自治区呼伦贝尔市陈巴尔虎旗","150725"
"421","内蒙古自治区呼伦贝尔市新巴尔虎左旗","150726"
"422","内蒙古自治区呼伦贝尔市新巴尔虎右旗","150727"
"423","内蒙古自治区呼伦贝尔市满洲里市","150781"
"424","内蒙古自治区呼伦贝尔市牙克石市","150782"
"425","内蒙古自治区呼伦贝尔市扎兰屯市","150783"
"426","内蒙古自治区呼伦贝尔市额尔古纳市","150784"
"427","内蒙古自治区呼伦贝尔市根河市","150785"
"428","内蒙古自治区巴彦淖尔市","150800"
"429","内蒙古自治区巴彦淖尔市临河区","150802"
"430","内蒙古自治区巴彦淖尔市五原县","150821"
"431","内蒙古自治区巴彦淖尔市磴口县","150822"
"432","内蒙古自治区巴彦淖尔市乌拉特前旗","150823"
"433","内蒙古自治区巴彦淖尔市乌拉特中旗","150824"
"434","内蒙古自治区巴彦淖尔市乌拉特后旗","150825"
"435","内蒙古自治区巴彦淖尔市杭锦后旗","150826"
"436","内蒙古自治区乌兰察布市","150900"
"437","内蒙古自治区乌兰察布市集宁区","150902"
"438","内蒙古自治区乌兰察布市卓资县","150921"
"439","内蒙古自治区乌兰察布市化德县","150922"
"440","内蒙古自治区乌兰察布市商都县","150923"
"441","内蒙古自治区乌兰察布市兴和县","150924"
"442","内蒙古自治区乌兰察布市凉城县","150925"
"443","内蒙古自治区乌兰察布市察哈尔右翼前旗","150926"
"444","内蒙古自治区乌兰察布市察哈尔右翼中旗","150927"
"445","内蒙古自治区乌兰察布市察哈尔右翼后旗","150928"
"446","内蒙古自治区乌兰察布市四子王旗","150929"
"447","内蒙古自治区乌兰察布市丰镇市","150981"
"448","内蒙古自治区兴安盟","152200"
"449","内蒙古自治区兴安盟乌兰浩特市","152201"
"450","内蒙古自治区兴安盟阿尔山市","152202"
"451","内蒙古自治区兴安盟科尔沁右翼前旗","152221"
"452","内蒙古自治区兴安盟科尔沁右翼中旗","152222"
"453","内蒙古自治区兴安盟扎赉特旗","152223"
"454","内蒙古自治区兴安盟突泉县","152224"
"455","内蒙古自治区锡林郭勒盟","152500"
"456","内蒙古自治区锡林郭勒盟二连浩特市","152501"
"457","内蒙古自治区锡林郭勒盟锡林浩特市","152502"
"458","内蒙古自治区锡林郭勒盟阿巴嘎旗","152522"
"459","内蒙古自治区锡林郭勒盟苏尼特左旗","152523"
"460","内蒙古自治区锡林郭勒盟苏尼特右旗","152524"
"461","内蒙古自治区锡林郭勒盟东乌珠穆沁旗","152525"
"462","内蒙古自治区锡林郭勒盟西乌珠穆沁旗","152526"
"463","内蒙古自治区锡林郭勒盟太仆寺旗","152527"
"464","内蒙古自治区锡林郭勒盟镶黄旗","152528"
"465","内蒙古自治区锡林郭勒盟正镶白旗","152529"
"466","内蒙古自治区锡林郭勒盟正蓝旗","152530"
"467","内蒙古自治区锡林郭勒盟多伦县","152531"
"468","内蒙古自治区阿拉善盟","152900"
"469","内蒙古自治区阿拉善盟阿拉善左旗","152921"
"470","内蒙古自治区阿拉善盟阿拉善右旗","152922"
"471","内蒙古自治区阿拉善盟额济纳旗","152923"
"472","辽宁省","210000"
"473","辽宁省沈阳市","210100"
"474","辽宁省沈阳市和平区","210102"
"475","辽宁省沈阳市沈河区","210103"
"476","辽宁省沈阳市大东区","210104"
"477","辽宁省沈阳市皇姑区","210105"
"478","辽宁省沈阳市铁西区","210106"
"479","辽宁省沈阳市**区","210111"
"480","辽宁省沈阳市东陵区","210112"
"481","辽宁省沈阳市沈北新区","210113"
"482","辽宁省沈阳市于洪区","210114"
"483","辽宁省沈阳市辽中县","210122"
"484","辽宁省沈阳市康平县","210123"
"485","辽宁省沈阳市法库县","210124"
"486","辽宁省沈阳市新民市","210181"
"487","辽宁省大连市","210200"
"488","辽宁省大连市中山区","210202"
"489","辽宁省大连市西岗区","210203"
"490","辽宁省大连市沙河口区","210204"
"491","辽宁省大连市甘井子区","210211"
"492","辽宁省大连市旅顺口区","210212"
"493","辽宁省大连市金州区","210213"
"494","辽宁省大连市长海县","210224"
"495","辽宁省大连市瓦房店市","210281"
"496","辽宁省大连市普兰店市","210282"
"497","辽宁省大连市庄河市","210283"
"498","辽宁省鞍山市","210300"
"499","辽宁省鞍山市铁东区","210302"
"500","辽宁省鞍山市铁西区","210303"
"501","辽宁省鞍山市立山区","210304"
"502","辽宁省鞍山市千山区","210311"
"503","辽宁省鞍山市台安县","210321"
"504","辽宁省鞍山市岫岩满族自治县","210323"
"505","辽宁省鞍山市海城市","210381"
"506","辽宁省抚顺市","210400"
"507","辽宁省抚顺市新抚区","210402"
"508","辽宁省抚顺市东洲区","210403"
"509","辽宁省抚顺市望花区","210404"
"510","辽宁省抚顺市顺城区","210411"
"511","辽宁省抚顺市抚顺县","210421"
"512","辽宁省抚顺市新宾满族自治县","210422"
"513","辽宁省抚顺市清原满族自治县","210423"
"514","辽宁省本溪市","210500"
"515","辽宁省本溪市平山区","210502"
"516","辽宁省本溪市溪湖区","210503"
"517","辽宁省本溪市明山区","210504"
"518","辽宁省本溪市南芬区","210505"
"519","辽宁省本溪市本溪满族自治县","210521"
"520","辽宁省本溪市桓仁满族自治县","210522"
"521","辽宁省丹东市","210600"
"522","辽宁省丹东市元宝区","210602"
"523","辽宁省丹东市振兴区","210603"
"524","辽宁省丹东市振安区","210604"
"525","辽宁省丹东市宽甸满族自治县","210624"
"526","辽宁省丹东市东港市","210681"
"527","辽宁省丹东市凤城市","210682"
"528","辽宁省锦州市","210700"
"529","辽宁省锦州市古塔区","210702"
"530","辽宁省锦州市凌河区","210703"
"531","辽宁省锦州市太和区","210711"
"532","辽宁省锦州市黑山县","210726"
"533","辽宁省锦州市义县","210727"
"534","辽宁省锦州市凌海市","210781"
"535","辽宁省锦州市北镇市","210782"
"536","辽宁省营口市","210800"
"537","辽宁省营口市站前区","210802"
"538","辽宁省营口市西市区","210803"
"539","辽宁省营口市鲅鱼圈区","210804"
"540","辽宁省营口市老边区","210811"
"541","辽宁省营口市盖州市","210881"
"542","辽宁省营口市大石桥市","210882"
"543","辽宁省阜新市","210900"
"544","辽宁省阜新市海州区","210902"
"545","辽宁省阜新市新邱区","210903"
"546","辽宁省阜新市太平区","210904"
"547","辽宁省阜新市清河门区","210905"
"548","辽宁省阜新市细河区","210911"
"549","辽宁省阜新市阜新蒙古族自治县","210921"
"550","辽宁省阜新市彰武县","210922"
"551","辽宁省辽阳市","211000"
"552","辽宁省辽阳市白塔区","211002"
"553","辽宁省辽阳市文圣区","211003"
"554","辽宁省辽阳市宏伟区","211004"
"555","辽宁省辽阳市弓长岭区","211005"
"556","辽宁省辽阳市太子河区","211011"
"557","辽宁省辽阳市辽阳县","211021"
"558","辽宁省辽阳市灯塔市","211081"
"559","辽宁省盘锦市","211100"
"560","辽宁省盘锦市双台子区","211102"
"561","辽宁省盘锦市兴隆台区","211103"
